模型名称,输入 token,输出 token,最大并发,平均时延 (s),最大时延 (s),吞吐 (r/s),kv cache usage (%)
llama3.1-8b,3500,490 - 500,4,1.2098760604858398,1.2098760604858398,3.3061237680773297,93
llama3.1-8b,3500,490 - 500,4,1.2120728492736816,1.2120728492736816,3.300131673106073,94
llama3.1-8b,3500,490 - 500,4,1.2179207801818848,1.2179207801818848,3.2842858625030096,94
llama3.1-8b,3500,490 - 500,4,1.2106666564941406,1.2106666564941406,3.3039647854705407,93
llama3.1-8b,3500,490 - 500,4,1.2141776084899902,1.2141776084899902,3.294410942872347,93
llama3.1-8b,3500,490 - 500,4,1.2135305404663086,1.2135305404663086,3.2961675595432225,94
llama3.1-8b,3500,490 - 500,4,1.2314114570617676,1.2314114570617676,3.248305005659339,94
llama3.1-8b,3500,490 - 500,4,1.2426342964172363,1.2426342964172363,3.218967971134228,94
llama3.1-8b,3500,490 - 500,4,1.211225986480713,1.211225986480713,3.302439053196201,93
llama3.1-8b,3500,490 - 500,4,1.23952317237854,1.23952317237854,3.22704737526152,93
llama3.1-8b,3500,490 - 500,4,1.2190287113189697,1.2190287113189697,3.28130089378458,93
llama3.1-8b,3500,490 - 500,4,1.2127959728240967,1.2127959728240967,3.2981639860541967,94
llama3.1-8b,3500,490 - 500,4,1.2088873386383057,1.2088873386383057,3.3088277725744173,93
llama3.1-8b,3500,490 - 500,4,1.2189602851867676,1.2189602851867676,3.2814850890627048,94
llama3.1-8b,3500,490 - 500,4,1.220412254333496,1.220412254333496,3.277580986094343,94
llama3.1-8b,3500,490 - 500,4,1.2120754718780518,1.2120754718780518,3.3001245325113255,94
llama3.1-8b,3500,490 - 500,4,1.232837438583374,1.232837438583374,3.244547800719218,93
llama3.1-8b,3500,490 - 500,4,1.2480599880218506,1.2480599880218506,3.2049741505934484,94
llama3.1-8b,3500,490 - 500,4,1.2776448726654053,1.2776448726654053,3.1307604214426616,94
llama3.1-8b,3500,490 - 500,4,1.217956781387329,1.217956781387329,3.2841887833193466,94
llama3.1-8b,3500,490 - 500,4,1.2173099517822266,1.2173099517822266,3.285933869302326,94
llama3.1-8b,3500,490 - 500,4,1.2261097431182861,1.2261097431182861,3.2623507173404045,93
llama3.1-8b,3500,490 - 500,4,1.2179112434387207,1.2179112434387207,3.284311579804592,94
llama3.1-8b,3500,490 - 500,4,1.2392363548278809,1.2392363548278809,3.227794265731952,94
llama3.1-8b,3500,490 - 500,4,1.2292108535766602,1.2292108535766602,3.254120306830287,94
llama3.1-8b,3500,490 - 500,4,1.2125482559204102,1.2125482559204102,3.2988377827187723,94
llama3.1-8b,3500,490 - 500,4,1.2125296592712402,1.2125296592712402,3.2988883772163535,94
